Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
166,"Surprise city, Arizona","143,160","144,407","149,312","154,149","158,285"
167,"Macon-Bibb County, Georgia","157,347","157,035","155,980","156,126","156,512"
168,"Paterson city, New Jersey","159,760","159,323","158,075","156,470","156,452"
169,"Lakewood city, Colorado","155,973","156,247","157,060","156,001","155,961"
170,"Hayward city, California","162,947","162,666","158,375","156,371","155,675"
171,"Charleston city, South Carolina","150,410","150,872","151,893","153,745","155,369"
172,"Alexandria city, Virginia","159,464","159,139","155,105","155,045","155,230"
173,"Hollywood city, Florida","153,035","152,802","152,412","152,630","153,859"
174,"Springfield city, Massachusetts","155,929","155,280","154,993","154,007","153,672"
175,"Kansas City city, Kansas","156,609","156,298","154,763","153,238","152,933"
176,"Sunnyvale city, California","155,627","155,250","152,477","151,682","151,967"
177,"Bellevue city, Washington","151,867","151,780","149,852","152,745","151,574"
178,"Joliet city, Illinois","150,393","150,251","150,627","150,156","150,489"
179,"Naperville city, Illinois","149,551","149,419","149,505","150,024","150,245"
180,"Escondido city, California","151,077","151,014","150,169","149,034","148,122"
181,"Bridgeport city, Connecticut","148,642","147,717","148,157","148,094","148,028"
182,"Savannah city, Georgia","147,774","147,456","146,458","147,980","147,748"
183,"Olathe city, Kansas","141,285","141,586","143,432","145,577","147,461"
184,"Mesquite city, Texas","150,225","149,627","147,722","147,646","147,317"
185,"Pasadena city, Texas","151,897","151,368","148,700","147,707","146,716"
186,"McAllen city, Texas","142,194","142,404","143,755","144,582","146,593"
187,"Rockford city, Illinois","148,924","148,670","147,745","146,646","146,120"
188,"Gainesville city, Florida","141,137","142,245","144,053","145,276","145,812"
189,"Syracuse city, New York","148,615","146,726","145,790","146,230","145,560"
190,"Pomona city, California","151,470","150,984","147,109","146,333","145,502"
191,"Visalia city, California","141,570","141,771","142,862","143,714","144,998"
192,"Thornton city, Colorado","141,863","142,185","142,925","143,247","144,922"
193,"Waco city, Texas","140,122","140,541","142,334","143,238","144,816"
194,"Jackson city, Mississippi","153,703","152,997","149,700","145,883","143,709"
195,"Columbia city, South Carolina","136,810","136,195","136,436","139,676","142,416"
196,"Fullerton city, California","143,639","143,267","140,193","140,390","139,250"
197,"Torrance city, California","146,955","146,442","143,322","140,901","139,224"
