Rank,Geographic Area,"April 1, 2020Estimates Base",2020,2021,2022,Population 2023
784,"Paramount city, California","53,748","53,572","52,445","51,599","51,072"
785,"Newark city, Ohio","49,948","50,017","50,349","50,784","51,046"
786,"Grapevine city, Texas","50,635","50,767","50,920","51,284","50,928"
787,"Watsonville city, California","52,596","52,482","52,081","51,438","50,867"
788,"Mishawaka city, Indiana","51,092","51,042","50,981","50,920","50,842"
789,"West New York town, New Jersey","52,905","52,542","51,711","50,732","50,754"
790,"Cuyahoga Falls city, Ohio","51,119","51,052","50,880","50,644","50,742"
791,"Burien city, Washington","52,065","51,989","51,220","50,811","50,730"
792,"Troy city, New York","51,419","51,318","51,202","50,733","50,607"
793,"Enid city, Oklahoma","51,292","51,170","50,562","50,532","50,577"
794,"Milford city (balance), Connecticut","50,569","50,433","50,456","50,443","50,421"
795,"Gallatin city, Tennessee","44,454","44,827","46,734","48,180","50,355"
796,"Everett city, Massachusetts","49,075","48,949","48,730","49,600","50,318"
797,"Aliso Viejo city, California","52,172","52,073","51,509","50,853","50,263"
798,"Bothell city, Washington","48,151","48,169","48,046","49,030","50,213"
799,"Hoffman Estates village, Illinois","52,541","52,380","51,419","50,568","50,179"
800,"Prescott Valley town, Arizona","46,761","46,966","48,161","49,085","50,045"
801,"Harrisburg city, Pennsylvania","50,087","50,095","50,248","50,157","50,012"
802,"Glendora city, California","52,581","52,408","51,320","50,489","49,934"
803,"Barnstable Town city, Massachusetts","48,914","48,900","49,613","49,488","49,709"
804,"Downers Grove village, Illinois","50,222","50,127","49,760","49,394","49,706"
805,"St. Louis Park city, Minnesota","50,008","50,027","49,254","48,837","49,697"
806,"Sheboygan city, Wisconsin","49,939","49,916","49,872","49,774","49,686"
807,"Titusville city, Florida","48,798","48,819","48,956","49,326","49,680"
808,"Draper city, Utah","51,025","51,027","51,372","48,482","49,602"
809,"Murray city, Utah","50,634","50,515","49,723","49,431","49,553"
810,"Stillwater city, Oklahoma","48,381","48,389","48,708","49,095","49,525"
811,"Fort Pierce city, Florida","47,528","47,610","48,287","48,591","49,374"
812,"Lakewood city, Ohio","50,941","50,825","50,259","49,668","49,337"
813,"Leesburg town, Virginia","48,249","48,382","48,986","49,052","49,312"
814,"Rosemead city, California","51,187","51,043","50,121","49,544","49,305"
815,"Portage city, Michigan","48,902","48,963","48,935","48,920","49,302"
816,"Ocoee city, Florida","47,362","47,521","47,586","48,162","49,261"
817,"Goose Creek city, South Carolina","45,967","46,250","46,718","47,602","49,249"
818,"San Luis Obispo city, California","47,106","47,191","47,905","48,494","49,244"
819,"Lawrence city, Indiana","49,373","49,341","49,440","49,263","49,235"
820,"Chesterfield city, Missouri","49,997","49,952","49,748","49,345","49,166"
821,"Cleveland city, Tennessee","47,807","47,918","48,084","48,507","49,086"
822,"Dublin city, Ohio","49,313","49,343","49,124","49,013","48,923"
823,"Cypress city, California","50,145","50,047","49,594","49,175","48,782"
824,"Covina city, California","51,274","51,170","50,222","49,353","48,728"
825,"Clermont city, Florida","43,028","43,335","44,601","46,497","48,621"
826,"Los Banos city, California","45,533","45,687","46,943","47,956","48,553"
827,"Huntsville city, Texas","45,935","45,967","47,052","47,863","48,552"
828,"East Lansing city, Michigan","47,748","47,688","34,500","47,269","48,528"
829,"Brea city, California","47,308","47,247","46,873","47,272","48,479"
830,"Hattiesburg city, Mississippi","48,729","48,736","48,474","48,383","48,414"
831,"Cedar Hill city, Texas","49,150","49,106","48,562","48,256","48,411"
832,"Ceres city, California","49,298","49,279","49,098","48,677","48,397"
833,"Bedford city, Texas","49,940","49,807","49,272","48,803","48,370"
834,"Coral Gables city, Florida","49,239","49,745","49,643","48,575","48,353"
835,"Oro Valley town, Arizona","47,070","47,222","47,792","48,213","48,311"
836,"Azusa city, California","50,350","50,200","49,242","48,594","48,272"
837,"Biloxi city, Mississippi","49,440","49,420","49,167","48,997","48,235"
838,"Euclid city, Ohio","49,685","49,580","49,043","48,489","48,212"
839,"Lebanon city, Tennessee","38,484","38,891","41,017","44,166","48,112"
840,"Poway city, California","48,836","48,788","48,526","48,267","48,051"
841,"Middletown city, Connecticut","47,723","46,965","48,030","47,978","47,984"
842,"Wilson city, North Carolina","47,869","47,859","47,544","47,513","47,833"
843,"Prescott city, Arizona","45,905","46,056","47,125","47,601","47,757"
844,"Mansfield city, Ohio","47,541","47,535","47,693","47,841","47,711"
845,"Niagara Falls city, New York","48,671","48,521","48,308","47,903","47,599"
846,"Wentzville city, Missouri","44,614","44,962","45,554","47,225","47,497"
847,"Sherman city, Texas","43,671","43,963","45,070","45,303","47,473"
848,"Plainfield village, Illinois","44,886","44,953","45,606","46,281","47,448"
849,"Columbia city, Tennessee","41,724","42,100","43,556","45,742","47,445"
850,"Minot city, North Dakota","48,385","48,384","48,084","47,689","47,373"
851,"Winter Garden city, Florida","47,390","47,471","46,983","47,404","47,294"
852,"Gainesville city, Georgia","42,348","42,573","43,381","45,327","47,265"
853,"Waxahachie city, Texas","41,131","41,623","43,798","45,489","47,201"
854,"Beavercreek city, Ohio","46,560","46,609","46,753","46,929","47,193"
855,"Shakopee city, Minnesota","43,701","44,062","44,706","45,623","47,158"
856,"Roswell city, New Mexico","48,441","48,429","48,003","47,389","47,109"
857,"Wauwatosa city, Wisconsin","48,380","48,329","47,724","47,257","47,038"
858,"Olive Branch city, Mississippi","46,419","46,586","46,950","46,950","47,029"
859,"Newark city, California","47,528","47,517","46,977","46,722","46,929"
859,"Mentor city, Ohio","47,441","47,424","47,285","47,024","46,929"
861,"Glenview village, Illinois","48,712","48,543","47,781","47,162","46,904"
862,"East Providence city, Rhode Island","47,131","47,050","46,917","46,753","46,900"
863,"Charleston city, West Virginia","48,812","48,641","47,944","47,215","46,838"
864,"Cerritos city, California","49,573","49,399","48,318","47,445","46,797"
865,"Urbandale city, Iowa","45,582","45,579","46,004","46,661","46,729"
866,"Binghamton city, New York","47,958","47,790","47,470","47,051","46,727"
867,"Roseville city, Michigan","47,718","47,602","47,242","46,819","46,666"
868,"Attleboro city, Massachusetts","46,454","46,475","46,614","46,571","46,654"
869,"Monroe city, Louisiana","47,697","47,609","47,193","46,817","46,616"
870,"Keller city, Texas","45,763","45,714","45,451","45,250","46,316"
871,"Holly Springs town, North Carolina","41,267","41,576","43,485","45,785","46,271"
872,"Farmington city, New Mexico","46,613","46,500","46,362","46,177","46,237"
873,"Rancho Santa Margarita city, California","47,963","47,869","47,327","46,732","46,182"
874,"Salina city, Kansas","46,883","46,844","46,448","46,061","45,792"
875,"Oakley city, California","43,353","43,480","44,193","44,932","45,761"
876,"Mankato city, Minnesota","44,516","44,577","44,846","45,127","45,742"
877,"Hackensack city, New Jersey","46,033","45,908","45,774","45,624","45,736"
878,"Spanish Fork city, Utah","42,614","42,750","43,845","44,142","45,557"
879,"Strongsville city, Ohio","46,485","46,424","46,134","45,720","45,511"
880,"La Mirada city, California","47,983","47,831","46,934","46,119","45,505"
881,"Sayreville borough, New Jersey","45,351","45,225","45,199","45,139","45,496"
882,"Blacksburg town, Virginia","44,836","44,754","45,660","45,573","45,485"
883,"The Colony city, Texas","44,532","44,768","45,218","45,400","45,471"
884,"Bremerton city, Washington","43,500","43,624","44,949","45,354","45,450"
885,"Elmhurst city, Illinois","45,784","45,728","45,485","45,305","45,336"
886,"Huntington city, West Virginia","46,841","46,750","46,215","45,634","45,325"
887,"Haltom City city, Texas","46,077","45,989","45,775","45,538","45,290"
888,"Brentwood city, Tennessee","45,378","45,439","45,715","45,467","45,265"
889,"Altamonte Springs city, Florida","46,259","46,175","45,524","45,532","45,257"
890,"Palm Springs city, California","44,586","44,660","45,107","45,128","45,218"
891,"Moorhead city, Minnesota","44,510","44,542","44,788","44,824","45,202"
892,"Delaware city, Ohio","41,327","41,712","43,019","43,982","45,158"
893,"Charlottesville city, Virginia","46,553","46,469","45,746","45,272","44,983"
894,"Newnan city, Georgia","42,548","42,864","43,410","44,491","44,940"
895,"York city, Pennsylvania","44,798","44,788","44,848","44,848","44,867"
896,"Riverton city, Utah","45,287","45,289","45,120","44,577","44,854"
897,"West Lafayette city, Indiana","44,446","44,601","44,891","44,835","44,829"
898,"Post Falls city, Idaho","38,555","39,253","42,668","44,144","44,798"
899,"North Lauderdale city, Florida","44,790","44,721","44,342","44,532","44,784"
900,"Salem city, Massachusetts","44,483","43,692","44,633","44,504","44,744"
901,"Hollister city, California","41,685","41,882","43,364","44,142","44,658"
902,"Concord city, New Hampshire","43,997","44,040","44,182","44,489","44,629"
903,"Rohnert Park city, California","44,407","44,467","44,548","44,374","44,546"
904,"Burlington city, Vermont","44,742","44,746","44,744","44,612","44,528"
905,"Morgan Hill city, California","45,479","45,685","45,269","44,678","44,478"
906,"Littleton city, Colorado","45,663","45,595","45,331","44,784","44,451"
907,"Fairfield city, Ohio","44,894","44,905","44,603","44,455","44,447"
908,"Sierra Vista city, Arizona","45,319","45,389","45,669","45,361","44,431"
909,"Hickory city, North Carolina","43,558","43,624","43,721","44,058","44,415"
910,"Greer city, South Carolina","35,347","35,797","38,862","42,075","44,387"
911,"Fond du Lac city, Wisconsin","44,690","44,711","44,500","44,329","44,300"
912,"Ormond Beach city, Florida","43,070","43,117","43,500","44,069","44,277"
913,"Wilkes-Barre city, Pennsylvania","44,325","44,253","44,318","44,251","44,254"
914,"Bountiful city, Utah","45,772","45,776","45,466","44,484","44,144"
915,"Oakland Park city, Florida","44,225","44,142","43,752","43,824","44,105"
916,"Greenacres city, Florida","44,019","43,986","43,788","43,818","44,103"
917,"Linden city, New Jersey","43,748","43,540","43,691","43,303","43,950"
918,"Cleveland Heights city, Ohio","45,316","45,220","44,720","44,198","43,908"
919,"Lynnwood city, Washington","38,572","38,548","40,743","43,219","43,867"
920,"Fuquay-Varina town, North Carolina","34,258","34,547","36,769","40,664","43,817"
921,"Lombard village, Illinois","44,487","44,393","44,030","43,901","43,779"
922,"El Centro city, California","44,538","44,444","44,307","43,907","43,772"
923,"Cutler Bay town, Florida","45,425","45,213","44,380","43,947","43,762"
924,"Freeport village, New York","44,471","44,279","44,259","43,946","43,756"
925,"Leominster city, Massachusetts","43,791","43,755","43,732","43,748","43,627"
926,"Coachella city, California","41,937","42,008","42,511","42,904","43,590"
927,"Hagerstown city, Maryland","43,552","43,523","43,617","43,609","43,553"
928,"Alexandria city, Louisiana","45,262","45,104","44,649","43,944","43,466"
929,"Lake Worth Beach city, Florida","42,203","42,224","42,611","43,212","43,346"
930,"Celina city, Texas","16,876","17,808","23,880","34,207","43,317"
931,"Huber Heights city, Ohio","43,431","43,444","43,405","43,287","43,313"
932,"Bullhead City city, Arizona","41,351","41,491","42,226","42,899","43,302"
933,"Schertz city, Texas","42,017","42,142","42,664","43,020","43,239"
934,"Saginaw city, Michigan","44,208","44,112","43,892","43,468","43,185"
935,"Woonsocket city, Rhode Island","43,224","43,159","43,057","42,973","43,135"
936,"Pittsfield city, Massachusetts","43,938","43,807","43,717","43,381","43,076"
937,"Weslaco city, Texas","40,185","40,619","40,994","42,229","43,053"
938,"Lompoc city, California","44,449","44,402","43,372","43,851","43,045"
939,"DeLand city, Florida","37,786","38,213","39,514","41,299","43,009"
940,"Danville town, California","43,573","43,560","43,523","43,253","42,999"
941,"Mount Juliet city, Tennessee","39,308","39,686","40,811","42,565","42,912"
942,"Indian Trail town, North Carolina","40,089","40,300","41,081","41,751","42,854"
943,"North Miami Beach city, Florida","43,670","43,451","42,599","43,005","42,789"
944,"Altoona city, Pennsylvania","43,973","43,898","43,547","43,057","42,788"
945,"Grove City city, Ohio","41,244","41,312","41,822","42,242","42,782"
946,"Sumter city, South Carolina","43,469","43,420","43,180","42,734","42,766"
947,"Edmonds city, Washington","42,850","42,829","42,926","42,632","42,701"
948,"Manassas city, Virginia","42,773","42,692","42,764","42,673","42,696"
949,"Midland city, Michigan","42,535","42,516","42,482","42,573","42,663"
950,"Fulshear city, Texas","16,641","17,558","24,934","33,938","42,616"
951,"Jefferson City city, Missouri","43,240","42,524","42,387","42,526","42,552"
952,"Buffalo Grove village, Illinois","43,193","43,085","42,818","42,566","42,482"
953,"Brighton city, Colorado","40,072","40,293","40,874","41,881","42,477"
954,"Florence city, Alabama","40,174","40,577","41,069","41,687","42,437"
955,"Beverly city, Massachusetts","42,672","42,595","42,377","42,214","42,318"
956,"Marion city, Iowa","41,536","41,599","41,745","41,815","42,213"
957,"Puyallup city, Washington","42,976","43,033","42,931","42,456","42,179"
958,"Shelton city, Connecticut","40,883","40,762","41,612","41,829","42,144"
959,"Peachtree Corners city, Georgia","42,261","42,239","42,142","42,161","42,136"
960,"Cottage Grove city, Minnesota","38,835","38,988","39,965","41,044","42,056"
961,"Moline city, Illinois","42,991","42,897","42,465","42,037","41,965"
962,"Brookfield city, Wisconsin","41,467","41,483","41,503","41,941","41,884"
963,"Kiryas Joel village, New York","32,951","33,499","36,203","39,027","41,857"
964,"Danville city, Virginia","42,590","42,579","42,285","42,017","41,837"
965,"Campbell city, California","43,956","43,784","42,625","41,975","41,700"
966,"Prosper town, Texas","30,165","30,816","34,136","37,716","41,660"
967,"Woburn city, Massachusetts","40,884","40,826","41,182","41,464","41,647"
968,"Fitchburg city, Massachusetts","41,947","41,675","41,652","41,601","41,579"
969,"Hallandale Beach city, Florida","41,223","41,138","41,104","41,197","41,547"
970,"Lancaster city, Ohio","40,540","40,636","40,828","41,190","41,422"
971,"Coppell city, Texas","42,983","42,840","42,218","41,842","41,404"
972,"Milton city, Georgia","41,289","41,393","41,313","41,796","41,383"
973,"Midlothian city, Texas","35,131","35,538","37,057","38,676","41,352"
974,"San Bruno city, California","43,889","43,746","42,275","41,579","41,327"
975,"Oviedo city, Florida","40,062","40,012","39,510","39,574","41,231"
976,"Reynoldsburg city, Ohio","41,070","41,050","41,108","41,123","41,220"
977,"Marlborough city, Massachusetts","41,800","41,689","41,264","41,187","41,179"
978,"Owasso city, Oklahoma","38,307","38,394","38,692","39,328","41,162"
979,"Apache Junction city, Arizona","38,514","38,733","39,733","40,183","41,153"
980,"Rosenberg city, Texas","38,202","38,436","39,491","40,648","41,104"
981,"Covington city, Kentucky","40,949","40,936","40,789","40,944","40,972"
982,"Romeoville village, Illinois","40,800","40,805","41,440","41,067","40,955"
983,"Crystal Lake city, Illinois","40,254","40,229","40,482","40,633","40,861"
984,"Friendswood city, Texas","41,057","41,017","40,941","40,728","40,826"
985,"Cedar Falls city, Iowa","40,726","40,702","40,668","40,570","40,737"
986,"Belleville city, Illinois","42,375","42,266","41,828","41,228","40,726"
987,"State College borough, Pennsylvania","40,495","40,410","41,011","40,378","40,687"
988,"Florence city, South Carolina","40,111","40,097","40,124","40,231","40,609"
989,"Plant City city, Florida","39,842","39,771","39,795","40,410","40,571"
990,"Annapolis city, Maryland","40,804","40,873","40,826","40,652","40,552"
991,"Lake Stevens city, Washington","38,938","39,118","39,732","39,899","40,521"
992,"Westfield city, Massachusetts","40,821","40,743","40,621","40,501","40,509"
993,"Cape Girardeau city, Missouri","39,552","39,781","39,998","40,410","40,508"
994,"West Fargo city, North Dakota","38,632","38,895","39,461","39,980","40,400"
995,"Windsor town, Colorado","32,712","33,230","35,784","38,512","40,349"
996,"Amherst Town city, Massachusetts","39,263","27,796","40,264","40,124","40,277"
997,"Germantown city, Tennessee","41,342","41,269","40,924","40,564","40,267"
998,"New Berlin city, Wisconsin","40,450","40,482","40,498","40,302","40,260"
999,"Lancaster city, Texas","41,279","41,255","40,712","40,371","40,215"
1000,"DeKalb city, Illinois","40,303","40,219","40,292","40,219","40,211"
1001,"Peachtree City city, Georgia","38,257","38,369","38,883","39,548","40,193"
1002,"Findlay city, Ohio","40,314","40,290","40,228","40,208","40,139"
1003,"Valley Stream village, New York","40,629","40,491","40,395","40,166","40,007"
1004,"Bartlett village, Illinois","41,125","41,018","40,548","40,137","39,992"
1005,"Rancho Palos Verdes city, California","42,277","42,129","41,236","40,515","39,980"
1006,"Rexburg city, Idaho","39,427","39,421","40,042","40,453","39,975"
1007,"Wausau city, Wisconsin","40,024","40,027","39,731","39,806","39,968"
1008,"Maplewood city, Minnesota","42,086","42,022","40,989","39,991","39,958"
1009,"Cedar City city, Utah","35,247","35,470","37,359","38,743","39,942"
1010,"Lake Oswego city, Oregon","40,802","40,828","40,551","40,109","39,924"
1011,"Dover city, Delaware","39,422","39,320","39,598","39,768","39,894"
1012,"Norwich city, Connecticut","40,129","40,028","40,060","39,934","39,881"
1013,"Bettendorf city, Iowa","39,097","39,125","39,328","39,532","39,858"
1014,"Lathrop city, California","28,702","29,096","31,322","35,080","39,857"
1015,"Fort Lee borough, New Jersey","40,173","40,051","39,905","39,673","39,700"
1015,"Menomonee Falls village, Wisconsin","38,523","38,593","39,042","39,224","39,700"
1017,"Myrtle Beach city, South Carolina","35,699","35,973","36,997","38,426","39,697"
1018,"Hutchinson city, Kansas","40,022","40,008","39,727","39,736","39,662"
1019,"La Vergne city, Tennessee","38,709","38,711","39,078","39,308","39,597"
1020,"Royal Palm Beach village, Florida","38,926","38,999","39,014","39,277","39,489"
1021,"Georgetown city, Kentucky","37,549","37,786","38,281","38,762","39,462"
1022,"Hobbs city, New Mexico","40,521","40,657","39,794","39,592","39,386"
1023,"Kearny town, New Jersey","42,002","41,706","40,325","39,513","39,370"
1024,"Prattville city, Alabama","37,749","37,856","38,293","38,754","39,318"
1025,"Hurst city, Texas","40,416","40,313","40,089","39,672","39,304"
1026,"Tooele city, Utah","35,750","36,039","37,247","38,604","39,263"
1027,"Grants Pass city, Oregon","39,194","39,259","39,477","39,110","39,149"
1028,"Pine Bluff city, Arkansas","41,261","40,978","40,335","39,569","39,123"
1029,"La Quinta city, California","37,653","37,749","38,231","38,521","39,081"
1030,"Douglasville city, Georgia","34,663","34,790","35,243","37,948","39,049"
1031,"Culver City city, California","40,767","40,666","39,983","39,444","39,041"
1032,"Spartanburg city, South Carolina","38,732","38,608","38,425","38,602","39,040"
1033,"Issaquah city, Washington","40,066","40,094","39,624","39,351","38,977"
1034,"Carol Stream village, Illinois","39,857","39,765","39,427","39,082","38,966"
1035,"Winter Springs city, Florida","38,330","38,353","38,222","38,693","38,941"
1036,"Duncanville city, Texas","40,705","40,526","39,798","39,373","38,883"
1037,"Stanton city, California","37,964","38,097","38,793","39,100","38,815"
1038,"Quincy city, Illinois","39,473","39,410","39,108","38,840","38,803"
1039,"Hutto city, Texas","27,583","28,081","30,898","36,647","38,765"
1040,"Warren city, Ohio","39,246","39,161","39,062","38,923","38,751"
1041,"Aventura city, Florida","40,234","40,042","39,308","38,916","38,741"
1042,"Copperas Cove city, Texas","36,658","36,719","37,453","37,975","38,696"
1043,"Riviera Beach city, Florida","37,592","37,608","38,140","38,350","38,663"
1044,"Lincoln Park city, Michigan","40,246","40,112","39,663","39,067","38,646"
1045,"Roy city, Utah","39,301","39,319","39,293","38,781","38,592"
1046,"Keizer city, Oregon","39,369","39,338","39,221","38,725","38,564"
1047,"American Fork city, Utah","33,369","33,550","34,439","37,260","38,549"
1048,"Portage city, Indiana","37,930","37,959","38,256","38,340","38,513"
1049,"Braintree Town city, Massachusetts","39,148","39,075","38,800","38,603","38,490"
1050,"Woodstock city, Georgia","35,109","35,247","36,375","37,349","38,473"
1051,"Atlantic City city, New Jersey","38,491","38,417","38,449","38,496","38,464"
1052,"Phenix City city, Alabama","38,809","38,798","38,411","38,289","38,441"
1053,"Lewiston city, Maine","37,124","37,110","38,385","38,512","38,404"
1054,"Chelsea city, Massachusetts","40,784","40,585","39,069","38,602","38,319"
1055,"Socorro city, Texas","34,306","34,642","36,184","37,769","38,238"
1056,"Calexico city, California","38,616","38,582","38,556","38,311","38,224"
1057,"Urbana city, Illinois","38,353","38,228","38,652","38,414","38,209"
1058,"Adelanto city, California","38,042","38,120","38,222","37,976","38,187"
1059,"Northglenn city, Colorado","38,109","38,036","37,419","38,089","38,164"
1060,"East Point city, Georgia","38,371","38,409","38,228","38,363","38,115"
1061,"Bartlesville city, Oklahoma","37,276","37,383","37,558","37,789","38,114"
1062,"Rome city, Georgia","37,735","37,679","37,575","37,904","38,111"
1063,"Weatherford city, Texas","30,869","31,144","33,954","36,231","38,109"
1064,"Hilton Head Island town, South Carolina","37,666","37,587","37,667","38,056","38,097"
1065,"Vestavia Hills city, Alabama","39,174","39,129","38,818","38,286","38,020"
1066,"Hot Springs city, Arkansas","37,935","37,972","38,010","38,065","37,994"
1067,"San Luis city, Arizona","35,281","35,588","36,099","35,775","37,966"
1068,"Westerville city, Ohio","39,194","39,244","38,410","38,158","37,958"
1069,"Longview city, Washington","37,819","37,869","37,841","37,826","37,925"
1070,"Parkland city, Florida","34,677","34,913","35,341","36,879","37,911"
1071,"Estero village, Florida","36,924","37,030","37,437","37,769","37,908"
1072,"Park Ridge city, Illinois","39,644","39,497","38,796","38,196","37,897"
1073,"Sun Prairie city, Wisconsin","35,973","36,073","36,095","36,623","37,890"
1074,"Monroe city, North Carolina","34,619","34,676","35,044","36,016","37,797"
1075,"Streamwood village, Illinois","39,582","39,432","38,704","38,067","37,780"
1076,"Kearns metro township, Utah","36,720","36,734","36,714","37,219","37,767"
1077,"San Gabriel city, California","39,574","39,464","38,667","38,067","37,732"
1078,"Wheeling village, Illinois","39,147","39,185","38,472","37,857","37,725"
1079,"Tupelo city, Mississippi","37,922","37,921","37,808","37,685","37,675"
1080,"Holyoke city, Massachusetts","38,251","38,154","37,866","37,689","37,628"
1081,"Clovis city, New Mexico","38,551","38,513","38,189","37,806","37,612"
1082,"Benton city, Arkansas","35,016","35,119","35,717","36,606","37,558"
1083,"Montclair city, California","37,886","37,941","38,001","37,754","37,545"
1084,"Bell Gardens city, California","39,514","39,382","38,548","37,901","37,467"
1085,"Oregon City city, Oregon","37,578","37,769","37,638","37,326","37,351"
1086,"New Albany city, Indiana","37,820","37,798","37,614","37,455","37,329"
1087,"Pleasant Grove city, Utah","37,724","37,738","37,953","37,654","37,294"
1088,"Haines City city, Florida","27,542","27,949","29,907","33,645","37,272"
1089,"Hilliard city, Ohio","37,113","37,137","36,941","37,380","37,262"
1090,"Richmond city, Kentucky","34,589","34,733","34,915","36,107","37,206"
1091,"Muskegon city, Michigan","37,229","37,210","37,245","37,156","37,183"
1092,"Oak Creek city, Wisconsin","36,507","36,500","36,330","36,062","37,156"
1093,"Carpentersville village, Illinois","37,987","37,909","37,697","37,292","37,099"
1094,"Wildomar city, California","36,890","36,913","37,138","37,057","37,087"
1095,"Oswego village, Illinois","34,602","34,724","35,349","35,917","37,074"
1096,"North Ridgeville city, Ohio","35,273","35,445","36,172","36,791","37,058"
1097,"Plainfield town, Indiana","34,656","34,905","35,565","36,188","37,047"
1098,"Leavenworth city, Kansas","37,351","37,322","37,197","37,071","37,034"
1099,"Syracuse city, Utah","32,137","32,386","33,398","35,538","37,022"
1100,"Redmond city, Oregon","33,289","33,776","35,626","36,393","37,009"
1101,"La Porte city, Texas","35,124","35,301","36,063","36,580","36,991"
1102,"Tucker city, Georgia","37,116","37,155","37,029","36,923","36,975"
1103,"Farmers Branch city, Texas","35,571","36,218","36,017","36,209","36,917"
1104,"Greenfield city, Wisconsin","37,786","37,749","37,400","37,046","36,916"
1105,"Muskogee city, Oklahoma","36,875","36,798","36,745","36,709","36,873"
1106,"Canton city, Georgia","32,956","33,405","34,630","35,771","36,857"
1107,"Monrovia city, California","37,938","38,003","37,636","37,110","36,768"
1108,"Cookeville city, Tennessee","34,827","34,939","35,535","36,011","36,657"
1109,"La Puente city, California","38,056","37,931","37,289","36,863","36,516"
1110,"San Juan city, Texas","35,317","35,360","35,530","35,787","36,448"
1111,"Richfield city, Minnesota","37,006","36,926","36,537","36,713","36,445"
1112,"Pacifica city, California","38,636","38,514","37,169","36,557","36,426"
1113,"Martinez city, California","37,273","37,195","36,962","36,563","36,395"
1114,"Cibolo city, Texas","32,282","32,830","33,518","34,794","36,374"
1115,"Sahuarita town, Arizona","34,102","34,356","35,239","35,638","36,356"
1116,"Merrillville town, Indiana","36,443","36,457","36,419","36,233","36,347"
1117,"Beloit city, Wisconsin","36,688","36,677","36,616","36,407","36,342"
1118,"Salisbury city, North Carolina","35,555","35,597","35,475","35,934","36,319"
1119,"Cleburne city, Texas","31,285","31,460","32,139","33,850","36,209"
1120,"Hinesville city, Georgia","34,889","35,066","34,975","35,410","36,181"
1121,"Hanover Park village, Illinois","37,467","37,348","36,831","36,353","36,165"
1122,"Rock Island city, Illinois","37,110","37,019","36,589","36,270","36,132"
1123,"Inver Grove Heights city, Minnesota","35,809","35,824","35,623","35,695","36,114"
1124,"Lauderdale Lakes city, Florida","35,959","36,051","35,686","35,790","36,035"
1125,"Seguin city, Texas","29,439","29,470","30,964","33,409","36,013"
1126,"Dunedin city, Florida","36,086","36,066","36,047","36,058","35,930"
1127,"El Mirage city, Arizona","35,800","35,955","35,987","35,979","35,850"
1128,"Norristown borough, Pennsylvania","35,795","35,783","35,925","35,813","35,769"
1129,"Upper Arlington city, Ohio","36,795","36,761","36,349","36,024","35,743"
1130,"Texarkana city, Texas","36,236","36,224","36,114","35,862","35,741"
1131,"Butte-Silver Bow (balance), Montana","34,496","34,573","34,859","35,296","35,701"
1132,"Panama City city, Florida","33,051","32,862","34,178","34,768","35,660"
1132,"Mason city, Ohio","34,801","34,882","35,191","35,516","35,660"
1134,"Claremont city, California","37,263","37,187","36,681","36,017","35,640"
1135,"Fair Lawn borough, New Jersey","34,930","34,865","35,208","35,342","35,564"
1136,"Midvale city, Utah","36,026","36,116","35,877","35,621","35,561"
1137,"Torrington city, Connecticut","35,508","35,365","35,533","35,565","35,550"
1138,"Moorpark city, California","36,290","36,246","36,022","35,656","35,543"
1139,"Marion city, Ohio","36,012","36,013","35,925","35,316","35,531"
1140,"Wenatchee city, Washington","35,559","35,536","35,660","35,500","35,526"
1141,"Franklin city, Wisconsin","36,138","36,144","35,580","35,367","35,485"
1142,"Springville city, Utah","35,262","35,334","36,150","35,849","35,471"
1143,"Forney city, Texas","23,463","23,880","27,302","32,131","35,470"
1144,"Stockbridge city, Georgia","35,686","35,756","35,894","35,657","35,452"
1145,"Roseville city, Minnesota","36,263","36,215","35,932","35,581","35,451"
1146,"Richmond city, Indiana","35,728","35,697","35,624","35,490","35,425"
1147,"Kingman city, Arizona","32,693","32,898","33,903","34,913","35,334"
1148,"Erie town, Colorado","30,057","30,417","31,566","33,139","35,269"
1149,"Garner town, North Carolina","31,217","31,245","31,925","33,599","35,265"
1150,"Mount Vernon city, Washington","35,230","35,306","35,531","35,564","35,259"
1151,"Watertown Town city, Massachusetts","35,337","35,364","35,297","35,210","35,256"
1152,"Bluffton town, South Carolina","27,718","28,338","31,758","34,434","35,243"
1153,"Addison village, Illinois","35,705","35,639","35,391","35,158","35,167"
1154,"Gahanna city, Ohio","35,726","35,705","35,481","35,136","35,159"
1155,"Brunswick city, Ohio","35,412","35,435","35,371","35,205","35,072"
1156,"University Place city, Washington","34,872","34,902","34,940","34,633","35,049"
1157,"Crown Point city, Indiana","33,902","33,998","34,133","34,536","34,884"
1158,"Temple City city, California","36,480","36,383","35,726","35,213","34,854"
1159,"Wildwood city, Missouri","35,418","35,389","35,248","34,969","34,851"
1160,"Lewiston city, Idaho","34,207","34,245","34,496","34,821","34,836"
1161,"Lima city, Ohio","35,579","35,529","35,307","34,970","34,794"
1162,"San Juan Capistrano city, California","35,199","35,159","34,918","34,775","34,754"
1163,"Fairborn city, Ohio","34,531","34,581","34,446","34,706","34,729"
1164,"Kennesaw city, Georgia","33,233","33,364","33,332","33,547","34,683"
1165,"Valparaiso city, Indiana","34,152","34,162","34,475","34,575","34,627"
1166,"Long Beach city, New York","35,045","34,799","34,788","34,654","34,595"
1167,"Del Rio city, Texas","34,693","34,700","34,555","34,560","34,574"
